,Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
912674,936416,7-Eleven 2360-14355 G  ,Convenience Store,9126,Roosevelt Way NE, ,Seattle,WA,98115,2840,KING,47.69518,-122.3175,02/03/2010,11/23/2018
912675,899914,7-Eleven 2360-14368G  ,Convenience Store,1607,Queen Anne Ave N, ,Seattle,WA,98109,2819,KING,47.63397,-122.357,06/04/2009,01/05/2014
912676,961923,7-eleven 2360-14392a  ,Convenience Store,9,Nickerson St, ,Seattle,WA,98109,1619,KING,47.64962,-122.3575,08/10/2010,03/10/2011
912682,889519,7-Eleven 2360-29078A  ,Convenience Store,101,NE 50th St, ,Seattle,WA,98105,4823,KING,47.66499,-122.328,06/04/2009,06/14/2010
912683,954259,7-Eleven 2360-29078B  ,Convenience Store,101,NE 50th St, ,Seattle,WA,98105,4823,KING,47.66499,-122.328,06/18/2010, 
912684,890387,7-Eleven 2361 16547B,Convenience Store,4812,Erskine Way SW, ,Seattle,WA,98116,4425,KING,47.55916,-122.3869,05/13/2009,03/07/2021
912685,964918,7-eleven 2361 23931E,Convenience Store,11657,Des Moines Memorial Dr, ,Seattle,WA,98168,1227,KING,47.49818,-122.3084,09/01/2010,10/21/2020
912686,1293383,7-eleven 23895d  ,Convenience Store,12355,15th Ave NE, ,Seattle,WA,98125,4819,KING,47.71917,-122.3127,08/29/2017, 
912695,1280066,7-eleven 35541b  ,Convenience Store,627,1st Ave, ,Seattle,WA,98104,2209,KING,47.60256,-122.3343,04/26/2017, 
912699,730962,7-Eleven Store 18553D,Convenience Store,3939,Stone Way N, ,Seattle,WA,98103,8017,KING,47.65491,-122.3426,10/26/2004, 
912702,1056860,7-Eleven Store 35289 A,Convenience Store,4224,University Way NE, ,Seattle,WA,98105,5833,KING,47.6591,-122.3131,05/09/2012,02/23/2017
912703,1056860,7-Eleven Store 35289 A,Convenience Store,4224,University Way NE, ,Seattle,WA,98105,5833,KING,47.6591,-122.3131,03/09/2017,05/31/2021
912708,1399377,7-Eleven Store 26842L,Convenience Store,3227,NE 145th St, ,Seattle,WA,98155,7504,KING,47.73334,-122.2927,03/11/2020, 
912710,1413988,7-Eleven Store 16365L,Convenience Store,6111,24th Ave NW, ,Seattle,WA,98107,3211,KING,47.67355,-122.3881,07/22/2020, 
912715,1443663,7-Eleven Store 16547P,Convenience Store,4812,Erskine Way SW, ,Seattle,WA,98116,4425,KING,47.55881,-122.3871,03/08/2021, 
912717,1452945,7-Eleven Store 35289J,Convenience Store,4224,University Way NE, ,Seattle,WA,98105, ,KING,47.65911,-122.3129,05/04/2021, 
912718,1452946,7-Eleven Store 35289J,Convenience Store,4224,University Way NE, ,Seattle,WA,98105, ,KING,47.65911,-122.3129,05/04/2021, 
912721,1483763,7-Eleven Store 16022M,Convenience Store,5900,Phinney Ave N, ,Seattle,WA,98103,5834,KING,47.67202,-122.3539,12/15/2021, 
912726,682996,7-ELVEN #2307-27279 27279,Convenience Store,5103,25th Ave NE, ,Seattle,WA,98105,4120,KING,0.0,0.0,03/02/2000,09/14/2000
912729,898534,76 Circle K 1991,Convenience Store,17700,Ambaum Blvd S, ,Seattle,WA,98148,1700,KING,47.44474,-122.3292,06/03/2009,08/04/2010
912735,1479002,7ElevenStore 32945H,Convenience Store,999,NWLearyWay, ,Seattle,WA,98107, ,KING,47.66866,-122.3782,11/09/2021, 
912737,1479007,7ElevenStore 14368P,Convenience Store,1607,Queen Anne Ave N, ,Seattle,WA,98109,2819,KING,47.6339,-122.3574,11/09/2021, 
912738,940770,85th St. Market  ,Convenience Store,656,NW 85th St, ,Seattle,WA,98117,3143,KING,47.69068,-122.3658,04/20/2010,01/24/2013
912739,955035,8TH & MARKET SHELL  ,Convenience Store,719,NW Market St, ,Seattle,WA,98107,2714,KING,47.66865,-122.3656,06/25/2010,02/06/2014
912740,1131392,8th And Market Shell  ,Convenience Store,719,Nw Market St, ,Seattle,WA,98107,2714,KING,47.66862,-122.366,02/07/2014,08/10/2015
